id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
100;1;1;5;5;4;1;2;2;6;2;4;6;1;1;5;1;1;5;1;1;4;1;1;5;6;6;2;0;0;1;0;20;2;0;NA;NA;Санкт-Петербург;5392992;49524;44434;30915;22190;20591;10;2019
101;5;3;3;6;2;2;5;5;2;4;3;5;5;5;3;2;3;4;2;2;2;3;4;4;5;5;4;NA;1;2;0;32;3;1;NA;NA;Долгопрудный;112007;100288;58604;72200;156523;27614;10;2019
102;6;6;5;1;1;2;6;6;3;6;6;6;6;6;4;1;2;3;1;3;3;6;6;3;6;6;1;0;0;1;1;21;1;0;NA;NA;Москва;12692466;42319;37024;44992;120504;49945;10;2019
103;6;1;1;1;1;6;6;1;1;6;6;6;6;6;1;1;1;1;6;6;1;6;1;1;6;6;1;1;NA;3;1;34;1;1;NA;NA;Вышков ;2552;98754;54600;56880;45479;29659;10;2019
104;6;6;3;2;3;3;4;4;1;4;5;5;5;4;4;2;2;4;4;4;4;5;6;5;4;5;3;NA;1;2;0;25;2;1;NA;NA;Санкт-Петербург;5392992;126659;71714;74769;113312;50674;10;2019
105;1;2;6;2;1;3;6;6;2;1;5;6;6;4;2;1;1;3;6;2;1;1;1;2;2;1;5;1;NA;3;0;18;1;0;NA;NA;Казань;1251969;83325;73548;65035;62585;43401;10;2019
106;6;6;4;1;3;2;6;4;2;6;2;1;6;2;1;6;6;4;6;1;1;1;6;2;6;5;4;NA;1;2;0;26;2;1;NA;NA;Минск;2018281;54383;360552;91192;85352;48832;10;2019
107;5;5;5;2;1;2;6;6;5;1;2;3;6;6;5;1;1;2;6;4;5;4;4;5;1;1;2;0;0;1;0;60;2;0;NA;NA;Москва;12692466;199017;120202;112399;448626;55378;11;2019
108;6;6;1;1;1;3;6;6;1;1;1;6;6;6;1;1;2;6;6;6;2;4;4;6;6;6;3;NA;1;2;0;23;2;1;NA;NA;Калининград ;482443;69970;49753;69635;126845;35400;11;2019
109;6;6;1;4;4;1;4;4;1;3;3;6;6;6;1;1;1;6;3;3;1;1;1;6;1;4;6;NA;1;2;0;22;1;0;NA;NA;Санкт-Петербург;5392992;55124;1105925;74617;43018;94415;11;2019
110;4;4;3;4;3;3;5;5;3;2;3;3;5;4;4;6;4;3;4;3;2;2;3;4;5;4;4;NA;1;2;1;19;1;0;NA;NA;Иркутск;623479;56521;68083;43173;84249;25181;11;2019
111;6;6;6;1;1;2;6;6;6;1;1;2;6;6;6;1;1;1;6;6;6;6;6;6;5;5;4;NA;1;2;1;37;5;1;NA;NA;NA;NA;151718;117884;94570;86100;66929;11;2019
